claim_type,status,submission_date,resolution_date,amount_claimed,amount_approved
vehicle accident,approved,2021-05-10,2021-06-05,5000,4000.0
theft,denied,2021-04-15,,3000,
medical,pending,2021-06-20,,10000,
property damage,approved,2021-07-01,2021-07-20,7000,6000.0
lost luggage,denied,2021-03-25,,2000,
trip cancellation,pending,2021-08-10,,1500,
identity theft,approved,2021-09-05,2021-09-25,10000,8000.0
natural disaster,denied,2021-02-28,,8000,
flight delay,approved,2021-11-15,2021-12-05,2500,2000.0
vandalism,denied,2021-10-20,,4000,
personal injury,pending,2021-01-10,,6000,
fraudulent charges,approved,2021-04-30,2021-05-20,3000,2500.0
product liability,denied,2021-07-30,,5000,
cyber attack,pending,2021-09-10,,7000,
defective product,approved,2021-08-20,2021-09-10,4000,3500.0
workplace injury,denied,2021-06-05,,6000,
data breach,approved,2021-11-20,2021-12-10,8000,7000.0
wrongful termination,denied,2021-03-15,,5000,
food poisoning,pending,2021-10-10,,2000,
contract dispute,approved,2021-02-15,2021-03-05,3000,2500.0
